Date,Time,Open,High,Low,Close,Volume,9SMA,21SMA,200SMA
2013-01-02,05:01:00,4418.75,4425,4418.75,4424.25,1555,4397.53484925865,4394.01787703001,4379.37479931915
2013-01-02,05:02:00,4424.5,4427,4424.5,4426.75,465,4403.37787940692,4396.99352457273,4379.80353416694
2013-01-02,05:03:00,4427,4429.75,4426.5,4429.5,461,4408.60230352554,4399.94865870249,4380.25327593919
2013-01-02,05:04:00,4429.5,4431,4428.5,4430.5,359,4412.98184282043,4402.7260533659,4380.7079974239
2013-01-02,05:05:00,4430.25,4430.5,4428.5,4429.5,189,4416.28547425635,4405.16004851445,4381.1495540083
2013-01-02,05:06:00,4429.5,4432.25,4429,4431.25,334,4419.27837940508,4407.53186228586,4381.60295170958
2013-01-02,05:07:00,4431.5,4432.25,4431.25,4432,140,4421.82270352406,4409.75623844169,4382.05903359457
2013-01-02,05:08:00,4431.75,4434,4431.75,4432.5,342,4423.95816281925,4411.82385312881,4382.51551292855
2013-01-02,05:09:00,4432.5,4432.75,4430.25,4430.25,163,4425.2165302554,4413.49895738983,4382.94749923689
2013-01-02,05:10:00,4430.5,4433.5,4430.25,4431.75,214,4426.52322420432,4415.15814308166,4383.38915082751
2013-01-02,05:11:00,4431.75,4433.5,4431.75,4433,123,4427.81857936346,4416.78013007424,4383.83811778834
2013-01-02,05:12:00,4433,4435.5,4432.75,4435.5,238,4429.35486349076,4418.48193643113,4384.30564613415
2013-01-02,05:13:00,4435.75,4435.75,4434.25,4434.75,203,4430.43389079261,4419.96085130102,4384.76215612389
2013-01-02,05:14:00,4435,4435.5,4434.5,4434.75,152,4431.29711263409,4421.30531936457,4385.2145348015
2013-01-02,05:15:00,4435,4435.5,4433.75,4434.5,267,4431.93769010727,4422.50483578597,4385.66055711099
2013-01-02,05:16:00,4434.5,4437.25,4434.5,4437,331,4432.95015208582,4423.82257798725,4386.12516745388
2013-01-02,05:17:00,4436.75,4439.25,4435.75,4438.75,353,4434.11012166865,4425.17961635204,4386.60141028235
2013-01-02,05:18:00,4438.5,4439.5,4437.75,4438.75,205,4435.03809733492,4426.41328759276,4387.07334322097
2013-01-02,05:19:00,4438.75,4439,4436.25,4436.5,230,4435.33047786794,4427.33026144797,4387.52064328232
2013-01-02,05:20:00,4436.5,4437.25,4435.25,4435.5,232,4435.36438229435,4428.0729649527,4387.95484560555
2013-01-02,05:21:00,4435.5,4435.5,4433.75,4433.75,192,4435.04150583548,4428.58905904791,4388.36928139193
2013-01-02,05:22:00,4434,4434.25,4431.5,4432.5,262,4434.53320466839,4428.94459913446,4388.76865441101
2013-01-02,05:23:00,4432.75,4433,4431.5,4433,201,4434.22656373471,4429.31327194042,4389.1689380815
2013-01-02,05:24:00,4433,4434,4432.5,4432.75,193,4433.93125098777,4429.62570176402,4389.56333683189
2013-01-02,05:25:00,4432.75,4433.75,4432.75,4433.5,162,4433.84500079021,4429.97791069456,4389.96095369314
2013-01-02,05:26:00,4433.5,4433.5,4430.25,4430.5,186,4433.17600063217,4430.02537335869,4390.32782289049
2013-01-02,05:27:00,4430.5,4430.5,4427.25,4427.5,365,4432.04080050574,4429.79579396245,4390.66422268333
2013-01-02,05:28:00,4427.5,4431.25,4427.25,4429.75,201,4431.58264040459,4429.79163087495,4391.01794012512
2013-01-02,05:29:00,4430,4430.25,4429,4429.75,118,4431.21611232367,4429.78784624995,4391.36845650407
2013-01-02,05:30:00,4430,4430,4429.5,4429.75,81,4430.92288985894,4429.78440568178,4391.71580078911
2013-01-02,05:31:00,4429.75,4430.5,4429.5,4429.75,119,4430.68831188715,4429.78127789252,4392.06000168694
2013-01-02,05:32:00,4429.5,4429.5,4428.25,4428.5,99,4430.25064950972,4429.66479808411,4392.38977542733
2013-01-02,05:33:00,4428.5,4430.25,4428.5,4430.25,85,4430.25051960778,4429.71799825828,4392.73240189405
2013-01-02,05:34:00,4430.5,4432.25,4430.25,4432,103,4430.60041568622,4429.92545296208,4393.08776477284
2013-01-02,05:35:00,4432,4432.5,4431.5,4432,94,4430.88033254898,4430.11404814734,4393.43991169797
2013-01-02,05:36:00,4432,4433.75,4432,4433.75,127,4431.45426603918,4430.44458922486,4393.80470887718
2013-01-02,05:37:00,4434,4434.25,4432,4433.25,128,4431.81341283135,4430.69962656805,4394.16167983756
2013-01-02,05:38:00,4433,4434,4432.5,4433.25,104,4432.10073026508,4430.93147869823,4394.51542029152
2013-01-02,05:39:00,4433.25,4433.25,4432.25,4432.75,39,4432.23058421206,4431.09679881657,4394.86143458753
2013-01-02,05:40:00,4433,4433,4431.5,4431.5,124,4432.08446736965,4431.13345346961,4395.19300531524
2013-01-02,05:41:00,4431.5,4433.25,4431.25,4433,145,4432.26757389572,4431.30313951783,4395.53515006352
2013-01-02,05:42:00,4433,4433,4431.75,4432.25,106,4432.26405911658,4431.38921774348,4395.86741114892
